iter	RMSE
2412	55322.65836
2413	55320.23712
2414	55318.70786
2415	55318.09456
2416	55317.56488
2417	55315.83641
2418	55314.76904
2419	55312.21801
2420	55311.16849
2421	55310.45353
2422	55309.64296
2423	55307.72704
2424	55305.58996
2425	55303.75755
2426	55302.96083
2427	55300.5965
2428	55299.18223
2429	55296.84363
2430	55295.95916
2431	55295.20018
2432	55291.56648
2433	55286.39443
2434	55285.27468
2435	55283.20448
2436	55281.47893
2437	55276.19832
2438	55273.41832
2439	55271.15437
2440	55269.50018
2441	55268.49769
2442	55266.9371
2443	55265.23496
2444	55262.79327
2445	55256.38456
2446	55251.98275
2447	55249.83953
2448	55249.13175
2449	55247.20575
2450	55246.61159
2451	55243.11826
2452	55242.32266
2453	55240.70152
2454	55240.3366
2455	55239.64067
2456	55238.45815
2457	55234.90847
2458	55234.11674
2459	55233.05178
2460	55230.26562
2461	55229.66529
2462	55228.62417
2463	55227.40353
2464	55226.67352
2465	55224.72679
2466	55220.78126
2467	55218.02042
2468	55216.87136
2469	55214.639
2470	55212.72377
2471	55212.40056
2472	55211.49279
2473	55211.00399
2474	55206.53471
2475	55204.67706
2476	55203.51775
2477	55202.30054
2478	55200.83187
2479	55199.76427
2480	55198.76649
2481	55198.21571
2482	55196.43362
2483	55192.34835
2484	55189.53419
2485	55187.62208
2486	55186.67598
2487	55184.96537
2488	55182.5341
2489	55179.82724
2490	55178.68936
2491	55174.87031
2492	55172.45257
2493	55171.23667
2494	55170.90923
2495	55169.73922
2496	55167.92826
2497	55163.86285
2498	55162.66473
2499	55161.74416
2500	55154.64268
2501	55149.77337
2502	55145.45294
2503	55144.62596
2504	55142.80218
2505	55141.69151
2506	55139.12248
2507	55137.29253
2508	55134.5315
2509	55130.92318
2510	55128.6214
2511	55127.46049
2512	55124.8888
2513	55123.32415
2514	55120.70831
2515	55118.26821
2516	55114.80272
2517	55114.05124
2518	55113.93531
2519	55112.44031
2520	55110.66743
2521	55108.5567
2522	55107.79913
2523	55101.68226
2524	55100.6847
2525	55098.99941
2526	55097.79589
2527	55096.22247
2528	55094.71899
2529	55094.43108
2530	55092.10178
2531	55090.68816
2532	55089.24451
2533	55087.4309
2534	55086.21712
2535	55084.97133
2536	55083.83749
2537	55082.22568
2538	55081.16177
2539	55076.88996
2540	55074.72593
2541	55073.41587
2542	55071.35771
2543	55068.97943
2544	55066.98512
2545	55065.35881
2546	55063.11031
2547	55060.77769
2548	55058.94113
2549	55053.65118
2550	55051.07605
2551	55050.85994
2552	55049.09709
2553	55045.96144
2554	55045.81736
2555	55045.30907
2556	55043.43998
2557	55041.53079
2558	55037.75426
2559	55034.83012
2560	55033.33496
2561	55032.47028
2562	55030.76889
2563	55025.58433
2564	55020.97186
2565	55018.79362
2566	55016.84554
2567	55015.69628
2568	55014.9915
2569	55012.71891
2570	55009.39695
2571	55008.19347
2572	55005.96866
2573	55004.44869
2574	55002.80652
2575	55001.91532
2576	54998.2362
2577	54995.70454
2578	54994.18829
2579	54993.64748
2580	54992.24335
2581	54992.06107
2582	54989.66935
2583	54988.61367
2584	54986.49024
2585	54986.2819
2586	54984.44285
2587	54977.18422
2588	54974.91809
2589	54973.45136
2590	54971.18306
2591	54969.05294
2592	54966.37565
2593	54965.1091
2594	54963.62207
2595	54963.51585
2596	54962.65408
2597	54961.26318
2598	54957.6996
2599	54955.34246
2600	54952.64045
2601	54950.03051
2602	54948.78163
2603	54946.65265
2604	54943.67354
2605	54941.47017
2606	54939.91032
2607	54938.10582
2608	54936.42155
2609	54933.65444
2610	54932.2187
2611	54931.36445
2612	54928.49681
2613	54927.73075
2614	54927.37779
2615	54925.8737
2616	54925.1457
2617	54924.41769
2618	54923.16622
2619	54921.32707
2620	54920.98811
2621	54919.15089
2622	54916.3127
2623	54914.35497
2624	54912.86656
2625	54912.00399
2626	54909.82143
2627	54908.93473
2628	54907.83136
2629	54906.46917
2630	54905.36776
2631	54904.71372
2632	54898.76082
2633	54896.25267
2634	54894.47481
2635	54892.05075
2636	54887.97895
2637	54886.28312
2638	54883.77439
2639	54883.11207
2640	54877.482
2641	54877.37762
2642	54875.81394
2643	54875.29405
2644	54874.96685
2645	54874.68582
2646	54873.90696
2647	54870.13294
2648	54868.91235
2649	54867.8684
2650	54866.28638
2651	54865.49536
2652	54863.70848
2653	54859.18079
2654	54855.77926
2655	54853.50208
2656	54851.30112
2657	54849.40533
2658	54846.73224
2659	54845.54327
2660	54843.42233
2661	54842.71533
2662	54839.78882
2663	54839.07575
2664	54838.11761
2665	54836.81998
2666	54829.61213
2667	54828.46497
2668	54827.06263
2669	54826.28511
2670	54825.15395
2671	54823.22511
2672	54817.65722
2673	54816.52589
2674	54814.90219
2675	54813.21616
2676	54812.58112
2677	54811.42154
2678	54810.09514
2679	54809.19277
2680	54807.2091
2681	54804.17819
2682	54803.97117
2683	54802.18831
2684	54800.17826
2685	54798.05557
2686	54797.09068
2687	54794.20797
2688	54789.58608
2689	54787.47705
2690	54786.99452
2691	54785.82234
2692	54785.17693
2693	54782.96719
2694	54780.80361
2695	54780.59248
2696	54775.9433
2697	54774.98003
2698	54773.0273
2699	54768.43178
2700	54764.97835
2701	54763.99678
2702	54761.94108
2703	54760.71808
2704	54760.28358
2705	54759.96576
2706	54759.06859
2707	54756.96442
2708	54756.16578
2709	54753.18837
2710	54751.18457
2711	54749.67765
2712	54748.77227
2713	54747.35179
2714	54746.49667
2715	54742.16454
2716	54735.43124
2717	54731.50478
2718	54729.4559
2719	54726.9581
2720	54725.97988
2721	54723.89859
2722	54722.97265
2723	54720.38397
2724	54717.80322
2725	54714.08688
2726	54712.58095
2727	54710.88572
2728	54708.92265
2729	54707.82129
2730	54706.01516
2731	54704.7446
